"PlayerID","Team","Cap","JumperNo","Name","DOB","Height","Weight","Games","Goals","Seasons","Debut","Last"
101,"AD","2","3","Hart, Darel","1964-01-03","178","80","39 (20-0-19)","38 ","1991-1992","27y 78d","28y 239d"
102,"AD","204","3","Knight, Riley","1995-03-27","181","77","39 (29-1-9)","28 ","2015-2018","20y 106d","23y 151d"
103,"AD","208","11","Seedsman, Paul","1992-01-22","189","87","39 (24-1-14)","27 ","2016-2018","24y 64d","26y 215d"
104,"AD","22","17","Hodges, Scott","1968-04-26","188","92","38 (19-0-19)","100 ","1991-1993 1996","22y 339d","28y 65d"
105,"AD","101","25","Beinke, Bryan","1975-08-05","185","88","38 (22-0-16)","42 ","1999-2002","23y 241d","27y 47d"
106,"AD","123","21","Gallagher, James","1979-11-17","176","70","38 (17-0-21)","11 ","2001-2004","21y 210d","24y 264d"
107,"AD","167","36","Martin, Brodie","1988-11-06","180","82","38 (19-0-19)","14 ","2009-2015","20y 255d","26y 261d"
108,"AD","28","25","Mickan, Mark","1961-01-30","196","102","37 (17-0-20)","12 ","1991-1993","30y 73d","32y 112d"
109,"AD","39","29","Ingerson, Anthony","1969-10-13","193","97","37 (16-0-21)","25 ","1992-1995","22y 161d","25y 304d"
110,"AD","65","8","McCartney, Jason","1974-03-14","191","95","37 (14-0-23)","20 ","1995-1997","21y 17d","23y 50d"
111,"AD","213","1","Greenwood, Hugh","1992-03-06","191","92","37 (22-1-14)","25 ","2017-2018","25y 75d","26y 172d"
112,"AD","58","44","Wellman, Sean","1974-09-20","193","90","34 (13-1-20)","9 ","1994-1995","19y 222d","20y 339d"
113,"AD","166","35","McKernan, Shaun","1990-09-01","196","100","34 (12-0-22)","21 ","2009 2011-2014","18y 306d","23y 209d"
114,"AD","52","49","Viska, Mark","1971-04-29","178","85","33 (15-0-18)","1 ","1993-1997","22y 31d","25y 349d"
115,"AD","140","30","Jericho, Luke","1984-10-18","190","86","33 (18-0-15)","31 ","2004-2005 2007-2008","19y 182d","23y 276d"
116,"AD","181","37","Callinan, Ian","1982-12-20","171","70","32 (20-0-12)","49 ","2011-2013","28y 188d","30y 254d"
117,"AD","63","16","Pesch, Nick","1974-06-25","173","80","31 (14-0-17)","15 ","1994-1996","20y 22d","22y 33d"
118,"AD","26","3","Rowe, Stephen","1965-11-03","178","87","29 (16-0-13)","24 ","1991-1993 1995","25y 155d","29y 233d"
119,"AD","200","28","Ellis-Yolmen, Cam","1993-01-28","190","97","29 (14-0-15)","13 ","2014-2016 2018","21y 131d","25y 209d"
120,"AD","131","2","Carey, Wayne","1971-05-27","192","97","28 (12-0-16)","56 ","2003-2004","31y 307d","33y 16d"
121,"AD","185","17","Kerridge, Sam","1993-04-26","188","86","27 (13-0-14)","23 ","2012-2015","18y 355d","22y 27d"
122,"AD","6","20","Klug, John","1965-09-28","188","98","26 (11-0-15)","34 ","1991-1992","25y 175d","26y 259d"
123,"AD","10","16","Marshall, David","1960-06-30","177","77","26 (11-0-15)","14 ","1991-1992","30y 265d","32y 19d"
124,"AD","99","38","Gallagher, David","1980-08-05","183","84","26 (11-0-15)","2 ","1999-2001","18y 234d","20y 336d"
125,"AD","43","40","Schwerdt, Steven","1968-05-28","178","81","25 (10-1-14)","4 ","1992-1994","23y 327d","26y 64d"
126,"AD","62","28","McKinnon, Martin","1975-07-05","189","94","25 (10-0-15)","7 ","1994-1995","19y 5d","20y 39d"
127,"AD","135","28","Begley, James","1980-07-22","189","84","25 (11-0-14)","3 ","2003-2005","22y 299d","24y 288d"
128,"AD","1","30","Fielke, Grantley","1962-03-18","178","78","24 (11-0-13)","6 ","1991-1992","29y 4d","30y 45d"
129,"AD","61","31","Kluzek, Matthew","1973-04-03","187","88","24 (8-0-16)","15 ","1994-1996","21y 91d","23y 129d"
130,"AD","86","24","Sampson, Clay","1976-02-24","178","78","24 (15-0-9)","16 ","1997-1998","21y 152d","22y 158d"
131,"AD","107","6","Byrne, James","1978-04-23","183","84","24 (13-0-11)","4 ","2000-2001","21y 323d","23y 131d"
132,"AD","186","34","Shaw, Sam","1991-04-05","193","90","24 (16-0-8)","0 ","2012-2015","21y 16d","24y 139d"
133,"AD","80","42","Rintoul, Chad","1974-07-31","180","86","23 (13-0-10)","16 ","1997-1998","22y 242d","24y 50d"
134,"AD","218","6","Gibbs, Bryce","1989-03-15","188","84","22 (12-0-10)","13 ","2018","29y 8d","29y 163d"
135,"AD","47","45","Rouvray, Paul","1972-04-18","189","93","21 (12-0-9)","2 ","1992-1994","20y 98d","22y 62d"
136,"AD","159","29","Sellar, James","1989-03-24","196","98","21 (11-0-10)","3 ","2008-2011","19y 40d","22y 79d"
137,"AD","197","1","Podsiadly, James","1981-09-10","193","100","21 (10-0-11)","26 ","2014","32y 191d","32y 355d"
138,"AD","42","39","Ross, Jonathan","1973-11-03","193","101","20 (11-0-9)","4 ","1992-1994 1996","18y 168d","22y 204d"
139,"AD","134","5","Burns, Ronnie","1973-03-13","183","86","20 (11-0-9)","23 ","2003-2004","30y 38d","31y 50d"
140,"AD","178","28","Thompson, Luke","1991-02-08","194","88","20 (6-0-14)","2 ","2011-2012 2014","20y 67d","23y 196d"
141,"AD","194","38","Grigg, Mitch","1993-01-02","182","81","20 (11-0-9)","15 ","2013-2015","20y 200d","22y 155d"
142,"AD","216","39","Doedee, Tom","1997-03-01","188","88","20 (11-0-9)","2 ","2018","21y 22d","21y 171d"
143,"AD","8","9","Lindner, Bruce","1961-06-20","185","87","19 (15-0-4)","27 ","1991-1992","29y 275d","31y 70d"
144,"AD","161","2","Moran, Brad","1986-09-29","199","99","18 (10-0-8)","8 ","2008-2009 2011","21y 295d","24y 296d"
145,"AD","171","46","Schmidt, Chris","1989-03-20","189","85","18 (5-0-13)","2 ","2010-2011","21y 22d","22y 98d"
146,"AD","172","16","Davis, Phil","1990-08-30","197","96","18 (11-0-7)","1 ","2010-2011","19y 230d","20y 243d"
147,"AD","55","9","Hall, Tony","1964-09-16","183","88","17 (7-1-9)","30 ","1994-1995","29y 192d","30y 331d"
148,"AD","153","1","Gill, Nick","1982-08-25","193","93","17 (10-0-7)","21 ","2007-2009","24y 338d","26y 230d"
149,"AD","212","7","Gallucci, Jordan","1998-05-04","182","78","17 (11-0-6)","16 ","2017-2018","19y 16d","20y 113d"
150,"AD","23","22","Murphy, Michael","1965-09-08","188","90","16 (6-0-10)","41 ","1991-1992","25y 204d","26y 315d"
151,"AD","53","20","Powell, Matthew","1973-09-27","175","87","16 (7-0-9)","4 ","1993-1995","19y 273d","21y 291d"
152,"AD","177","1","Tambling, Richard","1986-09-12","180","80","16 (8-0-8)","1 ","2011-2013","24y 195d","26y 353d"
153,"AD","116","2","Hewitt, Evan","1978-07-07","193","95","15 (9-0-6)","6 ","2001-2002","22y 268d","24y 56d"
154,"AD","14","23","McIntyre, Peter","1967-01-06","194","90","14 (5-0-9)","19 ","1991-1992","24y 75d","25y 76d"
155,"AD","36","24","Payze, Andrew","1966-08-25","178","78","14 (7-0-7)","2 ","1991-1992","24y 337d","26y 4d"
156,"AD","73","17","Collins, Matthew","1977-02-02","186","85","14 (6-0-8)","2 ","1996-1997","19y 128d","20y 196d"
157,"AD","100","1","Herbert, Lucas","1977-09-13","198","94","14 (5-0-9)","1 ","1999","21y 195d","21y 350d"
158,"AD","163","8","Cook, Myke","1989-10-09","184","77","14 (4-0-10)","2 ","2009-2011","19y 170d","21y 232d"
159,"AD","169","38","Armstrong, Tony","1989-09-29","183","72","14 (6-0-8)","0 ","2010-2011","20y 180d","21y 339d"
160,"AD","175","6","Gunston, Jack","1991-10-16","193","87","14 (5-0-9)","20 ","2010-2011","18y 219d","19y 316d"
161,"AD","81","16","Standfield, Barry","1970-02-13","193","90","13 (7-0-6)","23 ","1997","27y 45d","27y 155d"
162,"AD","40","51","Bone, Randall","1973-11-13","194","98","12 (8-0-4)","13 ","1992-1993","18y 143d","19y 302d"
163,"AD","49","50","Groom, Chris","1973-08-28","194","95","12 (7-0-5)","8 ","1993-1994","19y 212d","20y 245d"
164,"AD","92","17","Downsborough, Ian","1972-01-19","192","94","12 (9-0-3)","6 ","1998-1999","26y 83d","27y 166d"
165,"AD","126","6","Nelson, Ben","1977-01-23","184","92","12 (8-0-4)","1 ","2002","25y 67d","25y 179d"
166,"AD","183","43","Riley, Aidan","1991-12-13","183","86","12 (8-0-4)","5 ","2011-2013","19y 230d","21y 205d"
167,"AD","210","17","Hampton, Curtly","1993-03-10","185","90","12 (8-0-4)","4 ","2017-2018","24y 16d","25y 118d"
168,"AD","215","42","Keath, Alex","1992-01-20","198","97","12 (7-1-4)","0 ","2017-2018","25y 182d","26y 217d"
169,"AD","3","8","Hocking, Eddie","1970-01-06","168","68","11 (5-0-6)","4 ","1991","21y 75d","21y 222d"
170,"AD","21","14","Bartlett, Allan","1967-05-23","188","89","11 (3-0-8)","3 ","1991","23y 312d","24y 85d"
171,"AD","24","5","Abernethy, Bruce","1962-05-10","185","86","11 (7-0-4)","2 ","1991-1992","28y 332d","30y 91d"
172,"AD","25","19","Hughes, Danny","1963-12-04","189","90","11 (6-0-5)","1 ","1991","27y 124d","27y 207d"
173,"AD","118","5","Shir, Matthew","1981-09-12","184","83","11 (6-0-5)","1 ","2001-2002","19y 201d","20y 340d"
174,"AD","127","27","Schell, Daniel","1980-01-20","192","90","11 (8-0-3)","9 ","2002-2003","22y 70d","23y 83d"
175,"AD","219","44","Murphy, Lachlan","1998-12-04","176","76","11 (6-0-5)","12 ","2018","19y 109d","19y 250d"
176,"AD","54","14","Wigney, Stuart","1969-04-19","191","99","10 (3-0-7)","20 ","1993-1994","24y 124d","25y 94d"
177,"AD","217","32","Fogarty, Darcy","1999-09-25","193","94","10 (4-0-6)","9 ","2018","18y 179d","18y 284d"
178,"AD","17","28","Smith, Darren","1965-02-09","193","90","9 (3-0-6)","10 ","1991-1992","26y 41d","27y 120d"
179,"AD","37","46","Patterson, Paul","1965-09-28","189","90","9 (5-0-4)","2 ","1991-1993","25y 322d","27y 244d"
180,"AD","114","27","OLoughlin, Ricky","1979-07-04","183","84","9 (7-0-2)","2 ","2000-2001","20y 279d","21y 298d"
181,"AD","220","10","Poholke, Myles","1998-07-10","186","86","9 (4-0-5)","3 ","2018","19y 284d","19y 361d"
182,"AD","83","2","Cook, Tim","1974-02-20","176","75","8 (5-0-3)","5 ","1997-1998","23y 44d","24y 183d"
183,"AD","124","15","Fitzgerald, Ryan","1976-10-16","199","96","8 (5-0-3)","8 ","2002","25y 166d","25y 215d"
184,"AD","152","31","Campbell, Bryce","1984-09-07","184","80","8 (4-0-4)","1 ","2007-2008","22y 325d","23y 344d"
185,"AD","191","8","Johnston, Lewis","1991-03-03","193","91","8 (4-0-4)","15 ","2012-2014","21y 161d","23y 26d"
186,"AD","82","29","Williams, Brent","1978-02-13","190","85","7 (3-0-4)","4 ","1997","19y 45d","19y 87d"
187,"AD","93","40","Cook, Sudjai","1976-06-27","176","79","7 (6-0-1)","2 ","1998","21y 330d","22y 20d"
188,"AD","103","37","Golding, Matthew","1980-12-30","196","92","7 (2-0-5)","0 ","1999","18y 116d","18y 242d"
189,"AD","137","26","Schuback, Jacob","1983-11-28","180","80","7 (1-0-6)","4 ","2003-2004","19y 260d","20y 197d"
190,"AD","9","32","Lindsay, Bruce","1961-07-22","178","77","6 (2-0-4)","0 ","1991","29y 243d","29y 286d"
191,"AD","15","1","Negri, Romano","1964-09-30","204","104","6 (2-0-4)","0 ","1991-1992","26y 173d","27y 174d"
192,"AD","44","36","Sanderson, Brenton","1974-02-27","185","90","6 (2-0-4)","4 ","1992-1993","18y 59d","19y 169d"
193,"AD","79","20","Keating, Aaron","1974-05-24","200","102","6 (4-0-2)","1 ","1997-1998","22y 310d","23y 358d"
194,"AD","18","41","Thompson, Robert","1967-10-22","182","79","5 (3-0-2)","0 ","1991","23y 151d","23y 286d"
195,"AD","97","2","Atkinson, Brodie","1972-07-31","177","80","5 (2-0-3)","1 ","1999","26y 239d","27y 15d"
196,"AD","111","42","Cicolella, Justin","1978-09-12","178","78","5 (0-0-5)","1 ","2000","21y 195d","21y 321d"
197,"AD","142","6","Watts, Fergus","1985-09-21","197","95","5 (2-0-3)","2 ","2004","18y 273d","18y 307d"
198,"AD","221","20","Gibson, Sam","1986-05-27","185","83","5 (1-0-4)","2 ","2018","31y 356d","32y 20d"
199,"AD","57","17","Tongerie, Shane","1971-02-10","184","83","4 (2-0-2)","3 ","1994","23y 79d","23y 108d"
200,"AD","60","8","Mail, Joshua","1974-12-18","172","80","4 (2-0-2)","0 ","1994","19y 162d","19y 183d"
201,"AD","88","4","Picioane, Lance","1980-06-07","183","89","4 (1-0-3)","2 ","1998","17y 294d","17y 337d"
202,"AD","121","44","Bown, Stuart","1978-08-24","191","90","4 (3-0-1)","1 ","2001","22y 255d","22y 275d"
203,"AD","211","32","Menzel, Troy","1994-09-22","187","84","4 (3-0-1)","4 ","2017","22y 185d","22y 233d"
204,"AD","45","37","Saliba, Adam","1972-07-14","176","91","3 (1-0-2)","2 ","1992","19y 348d","20y 5d"
205,"AD","59","22","Turner, Peter","1974-01-23","194","94","3 (1-0-2)","1 ","1994","20y 112d","20y 126d"
206,"AD","85","31","Gilligan, Tom","1978-11-03","198","96","3 (0-0-3)","1 ","1997","18y 161d","18y 237d"
207,"AD","102","46","Wintle, Darryl","1976-04-07","179","80","3 (2-0-1)","0 ","1999","22y 361d","23y 10d"
208,"AD","158","10","Jacky, Jarrhan","1989-04-05","177","76","3 (3-0-0)","1 ","2008","19y 14d","19y 43d"
209,"AD","214","1","Beech, Jonathon","1990-11-09","188","88","3 (2-0-1)","1 ","2017","26y 212d","26y 234d"
210,"AD","20","44","Warhurst, Tom","1963-02-17","192","86","2 (1-0-1)","0 ","1991","28y 33d","28y 42d"
211,"AD","33","42","Kelly, Matthew","1971-07-02","187","91","2 (0-0-2)","0 ","1991-1992","20y 4d","20y 312d"
212,"AD","76","54","Fernee, Ashley","1977-06-24","196","84","2 (1-0-1)","0 ","1996","19y 34d","19y 68d"
213,"AD","96","39","Stevens, Linden","1978-06-13","186","80","2 (1-0-1)","0 ","1998","20y 77d","20y 84d"
214,"AD","105","47","Howard, Dean","1976-07-29","179","82","2 (0-0-2)","0 ","1999","22y 310d","22y 319d"
215,"AD","122","15","Richardson, Adam","1974-08-20","194","102","2 (2-0-0)","1 ","2001","26y 265d","26y 271d"
216,"AD","154","2","Meesen, John","1986-06-20","200","100","2 (2-0-0)","0 ","2007","21y 60d","21y 66d"
217,"AD","170","39","Young, Will","1990-08-03","192","83","2 (0-0-2)","1 ","2010","19y 244d","20y 18d"
218,"AD","209","43","OBrien, Reilly","1995-08-20","201","98","2 (2-0-0)","1 ","2016","20y 352d","20y 360d"
219,"AD","29","6","Lamb, Clayton","1964-07-01","185","86","1 (0-0-1)","1 ","1991","26y 294d","26y 294d"
220,"AD","151","38","Hinge, John","1986-06-06","187","86","1 (0-0-1)","0 ","2007","20y 333d","20y 333d"
